Słowo angielskie,Tłumaczenie
reverse,"jechać do tyłu, cofać"
review,recenzować
revise,"poprawiać, korygować, ulepszać"
revolution,rewolucja
revolutionary,rewolucyjny (przełomowy)
reward,nagradzać
rewrite,"przepisać, napisać od nowa, przeredagować"
rhinoceros,nosorożec
rhythm,rytm
rib,żebro
rich,"kaloryczny, tuczący"
rich,"bogaty, obfity w coś"
ridiculous,"absurdalny, niedorzeczny, idiotyczny, groteskowy, śmieszny"
right,"słuszny, właściwy moralnie, uczciwy"
rightly,słusznie
rinse,opłukać
rip,"podrzeć (się), potargać (się), rozpruć (się)"
ripe,dojrzały
risk,ryzykować
risk,ryzyko
risky,ryzykowny
robbery,"rabunek, napad rabunkowy"
rock,kołysać (się)
rocket,rakieta
rod,"pręt, kij, drążek, laska"
roll,toczyć (się)
roommate,współlokator
root,korzeń
rope,lina
rotten,"zgniły, zepsuty"
roughly,"około, w przybliżeniu, mniej więcej"
roulette,ruletka
row,wiosłować
royal,członkini/członek rodziny królewskiej
royal,królewski
rub,"pocierać, masować"
rubber,guma
ruin,"zrujnować, zniszczyć"
rule,rządzić
rumour,"pogłoska, plotka"
rural,wiejski
rush,"poganiać, ponaglać"
rush,"pośpiech, gonitwa"
rush,"pędzić, biec, gnać"
rusty,"zaniedbany, przykurzony (o znajomości języka)"
rusty,zardzewiały
ruthless,"bezwzględny, bezlitosny"
sack,"wyrzucić z pracy, zwolnić"
sadly,ze smutkiem; nieszczęśliwie
sadness,smutek
safe,sejf
safety,bezpieczeństwo
sail,żagiel
sake,"wzgląd, powód"
sales,sprzedaż
salon,salon (np. fryzjerski)
salty,słony
satellite,satelita
satisfaction,"zadowolenie, satysfakcja"
satisfactory,zadowalający
satisfy,"zaspokoić, zadowolić, usatysfakcjonować"
satisfying,satysfakcjonujący
saving,oszczędność
scale,skala
scales,waga
scalpel,skalpel
scandal,skandal
scar,"blizna, szrama"
scenario,scenariusz (rozwój wydarzeń)
scene,"sceneria, widok, scenka"
scent,zapach
schedule,"harmonogram, rozkład"
schedule,"planować, wyznaczyć termin czegoś, ująć w harmonogramie"
scheduled,"kursowy, programowy, planowy, figurujący w rozkładzie"
scheme,"system, program"
scientifically,naukowo
scratch,"zadrapanie, rysa"
scratch,"drapać (się), podrapać (się)"
scratch,"podrapać, zarysować"
screen,"badać, monitorować; poddawać kontroli"
screwdriver,śrubokręt
script,scenariusz
seagull,mewa
seal,foka
seashell,muszelka
seasonal,sezonowy
secondary,"drugorzędny, poboczny"
secondly,po drugie
secure,"bezpieczny, zabezpieczony, pewny, chroniony"
seed,"ziarno, nasiono"
seek,"szukać, poszukiwać"
segment,"odcinek, część, sektor, segment"
seize,"chwytać, łapać"
seldom,rzadko
selection,"wybór, asortyment"
self-confidence,pewność siebie
semi-final,półfinał
semicolon,średnik
seminar,seminarium
senior,"starszy, wyższy rangą"
sensation,"odczucie, uczucie"
sensitive,wrażliwy
sensor,czujnik
sentence,skazać
sentence,wyrok (odsiadka)
separate,"rozstać się, rozejść się"
separate,"odseparować, oddzielić"
separately,"oddzielnie, osobno"
separation,"separacja, rozstanie"
series,seria (np. wydarzeń)
servant,służący
service,służba
service,"serwisować, naprawiać, robić przegląd"
sesame,sezam
session,"posiedzenie, sesja"
set,set
setting,"sceneria, dekoracja, tło"
severe,"surowy, srogi"
severely,"poważnie, ciężko"
sexually,"płciowo, seksualnie"
sexy,"seksowny, sexi"
shake,potrząśnięcie
share,część
sharp,bystry
sharply,"gwałtownie, nagle, ostro"
shed,szopa
shell,skorupa; muszla
shelter,"schronienie, schronisko"
shift,"zmiana, szychta"
shiftwork,praca zmianowa
shine,połysk
shipment,"transport, dostawa"
shiver,"drżeć, dygotać, trząść się"
shock,szokować
shoemaker,szewc
shooting,"strzelectwo, strzelanie"
shopkeeper,"właściciel/-ka sklepu, sklepikarz"
short-term,"krótkotrwały, krótkoterminowy"
shortage,"niedobór, brak"
shortly,wkrótce
shot,"strzał, rzut"
shot,"zdjęcie, fotka"
shot,"strzał, wystrzał"
shower,brać prysznic
shrink,kurczyć się
siblings,rodzeństwo
sickness,"nudności, mdłości"
side,strona (sporu)
sigh,wzdychać
sigh,westchnienie
sign,"symbol, znak"
signal,sygnał
significant,"znaczący, znaczny, istotny, ważny"
significantly,"znacznie, znacząco"
silently,"cicho, w ciszy, w milczeniu"
similarity,podobieństwo
simply,po prostu
simultaneously,jednocześnie
sister-in-law,"bratowa, szwagierka"
skeleton,szkielet
skilful,"zręczny, wprawny, sprytny"
skilfully,"umiejętnie, zręcznie"
skilled,"wykwalifikowany, wprawny"
skip,"pominąć, opuścić; darować sobie"
skyscraper,drapacz chmur
slam,trzasnąć (np. drzwiami)
slap,"uderzyć dłonią, dać klapsa, spoliczkować"
slash,ukośnik
slave,niewolnik
slice,pokroić w plastry
slide,zjeżdżalnia
slide,"ślizgać się, wsunąć (się)"
slight,"drobny, nieznaczny, lekki"
slightly,"trochę, lekko, odrobinę"
slip,"karteczka, kawałek papieru, świstek"
slope,stok
smallpox,ospa
smash,"rozbić (się), roztrzaskać (się)"
smell,węch
smoker,palacz
smoothly,"gładko, płynnie"
sneakers,trampki (AmE)
sneeze,kichać
snore,chrapać
so-called,"tak zwany, rzekomy"
soak,namoczyć
soaked,"zmoknięty, przemoczony"
soaking,"przemoczony, mokry"
sob,"łkać, szlochać"
socialize,"udzielać się towarzysko, spotykać się z ludźmi"
society,"stowarzyszenie, towarzystwo"
softness,miękkość
soil,gleba
solar,"słoneczny, solarny"
solid,"trwały, solidny"
solo,"solówka, solo"
solo,solowy
son-in-law,zięć
sophisticated,"zaawansowany, wyszukany, skomplikowany"
sophisticated,"wyrafinowany, wytworny, finezyjny; wyrobiony, obyty"
sort,"sortować, segregować"
soul,dusza
soundtrack,ścieżka dźwiękowa
source,źródło
sparrow,wróbel
specialise,specjalizować się
specialist,specjalista
species,gatunek
specific,"określony, sprecyzowany, konkretny"
specify,"sprecyzować, określić"
spectator,widz
speech,"przemówienie, mowa, wystąpienie"
speed,"pędzić, mknąć; jechać z nadmierną prędkością"
speedometer,prędkościomierz
spirit,duch
spirit,"duch, charakter"
spiritual,duchowy
splash,"chlapać, pluskać"
splash,plusk
split,rozdzielić
sponsor,sponsor
sponsor,sponsorować
spontaneous,spontaniczny
spot,"spostrzec, wypatrzyć, zauważyć"
spot,pryszcz
spray,"opryskiwać, rozpylać"
spray,"aerozol, sprej"
spread,rozprzestrzenianie się
spreadsheet,arkusz kalkulacyjny
squash,"zgnieść, zmiażdżyć"
squeeze,ścisnąć
squirrel,wiewiórka
stab,"pchnąć nożem, ugodzić, dźgnąć"
stain,plama
standard,"standard, poziom, wymóg"
standard,"standardowy, rutynowy"
stare,"gapić się, wpatrywać się"
start,założyć; powstać
start,"zapalić, uruchomić, włączyć"
starving,"umierający z głodu, głodujący"
state,państwowy (UK)
state,"wskazać, określić, podać"
state,"stan, kondycja"
state,stan
stationery,artykuły papiernicze
statistic,dana statystyczna
statistics,statystyka; dane statystyczne
steadily,"równomiernie, miarowo; stopniowo"
steady,"stały, jednostajny, równomierny, systematyczny, miarowy"
steady,"pewny, stabilny; stały"
steam,para
steel,stal
steer,"kierować, sterować"
stepdaughter,pasierbica
stepfather,ojczym
stepmother,macocha
stepson,pasierb
sticker,naklejka
stiffly,"sztywno, w pozycji wyprostowanej"
still,nieruchomy
stimulate,"stymulować, pobudzać, przyspieszać"
sting,żądło
stock,"zapas towaru, towar, dostawa"
stool,taboret
stopover,"przerwa w podróży, międzylądowanie"
storage,"przechowanie, składowanie"
store,"przechowywać, magazynować"
storey,"kondygnacja, piętro"
stormy,burzowy; sztormowy
straight,"uczciwy, szczery"
straightforward,"szczery, prostolinijny"
straightforward,"prosty, jasny"
strain,"nadwyrężyć, naderwać, naciągnąć"
strain,obciążenie; napięcie; stres
strangely,dziwnie
strategy,strategia
strength,siła
strengthen,wzmocnić
stress,"podkreślić, zaakcentować"
stretch,"rozciągać się, rozciągać mięśnie, przeciągać się"
strict,"ścisły, surowy"
strictly,"surowo; ściśle, dokładnie"
strike,strajkować
strike,"uderzyć (myśl), przyjść do głowy"
striking,"uderzający (przyciągający uwagę, znaczny)"
string,struna
string,sznurek
stroke,głaskać
stroke,"udar, wylew"
strongly,"silnie, mocno, głęboko, stanowczo, zdecydowanie"
structure,"konstrukcja, struktura, budowa"
struggle,"szamotać się, szarpać się"
struggle,"wysilać się, podejmować wysiłek, starać się z trudem, usiłować"
struggle,"wysiłek, usilne starania"
stubborn,uparty
stuck,"zablokowany, zaklinowany"
studio,"studio, atelier, pracownia"
study,"badanie, studium, analiza"
study,"studia, nauka"
stunning,"oszałamiający, zachwycający"
style,"styl, elegancja, szyk"
submit,"przedłożyć, złożyć, dostarczyć"
substance,substancja
substantial,"pokaźny, obfity; znaczący, znaczny"
substitute,"substytut, zamiennik; rezerwowy"
substitute,zastąpić
suburb,przedmieście
suburban,podmiejski
subway,przejście podziemne (BrE)
successful,"wzięty, odnoszący sukcesy, cieszący się powodzeniem"
successfully,"skutecznie, z powodzeniem"
sudden,"nagły, gwałtowny"
suffer,cierpieć
suffer,"doznać, doświadczyć (kontuzji, itp.)"
suffering,cierpienie
sufficient,"dostateczny, wystarczający"
sufficiently,wystarczająco
suffix,przyrostek
suicide,samobójstwo
suit,"pasować, być do twarzy"
suitably,"odpowiednio, właściwie"
summary,"streszczenie, podsumowanie, skrót"
sunflower,słonecznik
sunlight,światło słoneczne
sunroof,szyberdach
superb,"znakomity, doskonały, pierwszorzędny"
supernatural,"nadprzyrodzony, nadnaturalny"
superstitious,przesądny
supervise,nadzorować
supplier,dostawca
supply,"dostarczyć, zaopatrzyć"
supply,zapas
surely,"niewątpliwie, z pewnością, na pewno"
surface,powierzchnia
surgery,"operacja, zabieg chirurgiczny"
surgery,"gabinet lekarski, przychodnia"
surrounding,"otaczający, okoliczny"
surroundings,"otoczenie, okolica"
survey,ankieta
survival,"przeżycie, przetrwanie"
survive,"przeżyć, przetrwać"
survivor,"osoba, która przeżyła katastrofę, wypadek, itp., ocalały"
suspect,podejrzewać
suspect,podejrzany
suspend,"zawiesić (w prawach, w obowiązkach)"
suspicious,podejrzliwy
suspiciously,"podejrzanie, podejrzliwie"
swallow,"połykać, przełykać"
swan,łabędź
swear,przysięgać
swear,"kląć, przeklinać"
sweat,pocić się
sweat,pot
sweep,zamiatać
swell,puchnąć
swing,"kołysać (się), huśtać (się)"
swing,huśtawka
switch,"przestawić (się), zmienić"
swollen,"spuchnięty, opuchnięty"
sword,miecz
syllable,sylaba
symbol,symbol
sympathetic,"współczujący, pełen współczucia, życzliwy"
sympathy,współczucie
symptom,"objaw, symptom"
syrup,syrop
tablecloth,obrus
tabloid,brukowy
tabloid,brukowiec
tackle,"rozprawić się, podjąć walkę, stawić czoło, zająć się (jakimś problemem, np. bezrobociem, przestępczością, itp.)"
tag,"identyfikator, przywieszka, etykietka, metka"
tail,ogon
tailor,krawiec (zazwyczaj męski)
tale,"opowieść, historia"
tambourine,tamburyn
tan,opalenizna
tangerine,mandarynka
tap,"klepnięcie, stuknięcie"
tap,"stukać, pukać, klepać"
target,"cel, tarcza"
task,zadanie
taste,gust
tease,"drażnić, droczyć się, dokuczać"
teaspoon,łyżeczka
technical,techniczny
technological,technologiczny
telecommunications,telekomunikacja
telescope,teleskop
temper,"temperament, usposobienie, charakter; nastrój"
temporarily,"tymczasowo, przejściowo, chwilowo"
temptation,pokusa
tend,"wykazywać tendencje, zwykle coś robić"
tense,"napięty, spięty, nerwowy"
tension,"napięcie, stres"
terminal,terminal
terms,warunki
terrace,taras
terribly,"bardzo źle, okropnie"
terrify,przerazić
terrifying,przerażający
territory,"terytorium, teren, obszar"
terror,"groza, paniczny strach, przerażenie"
terrorism,terroryzm
terrorist,"terrorystka, terrorysta"
theater,teatr (AmE)
theft,kradzież
theme,"temat, motyw przewodni"
theory,teoria
therapy,"terapia, leczenie"
thermometer,termometr
thesis,"praca dyplomowa, naukowa, rozprawa"
thigh,udo
third,jedna trzecia
thirst,pragnienie
thorough,"dokładny, gruntowny"
thoroughly,"dokładnie, gruntownie; całkowicie"
though,"jednak, ale"
thoughtful,"troskliwy, życzliwy, myślący o innych"
threat,"groźba, pogróżka"
threaten,"grozić, stosować pogróżki, straszyć"
thrilled,"bardzo szczęśliwy, zadowolony, podekscytowany, zachwycony"
thrilling,ekscytujący
throughout,przez cały (od początku do końca czegoś)
thus,"w ten sposób, tym samym; dlatego, więc"
tic-tac-toe,kółko i krzyżyk
tide,"fala, pływ"
tight,"ciasno, szczelnie, mocno"
tighten,"zacisnąć (się), napiąć (się)"
tightly,"szczelnie, mocno, kurczowo"
time,mierzyć czas
timing,wyczucie czasu; wybrany termin
tiredness,zmęczenie
title,"zatytułować, nadać tytuł"
today,"obecnie, w dzisiejszych czasach"
toenail,paznokieć u stopy
tolerate,"tolerować, szanować"
tomb,grobowiec
ton,tona
tone,sygnał
tool,narzędzie
torch,latarka
tornado,tornado
touch,dotyk
touchdown,lądowanie
tough,"twardy, nieustępliwy"
tough,"trudny, ciężki"
towards,wobec
toxic,toksyczny
trace,ślad
track,"utwór, piosenka"
trade,"fach, rzemiosło, zawód"
trade,handlować; prowadzić interesy/biznes
tradition,tradycja
traditionally,tradycyjnie
tragedy,tragedia
tragic,"tragiczny, dramatyczny"
trail,"szlak, ścieżka"
train,szkolić (się); zdobywać kwalifikacje
transfer,"przelew, przeniesienie"
transform,"przekształcać, zmieniać, przeobrażać"
transitive,przechodni (czasownik)
transparent,przezroczysty
transport,transportować
trap,pułapka
trash,"zdemolować, rozwalić"
tray,taca
treasure,skarb
treat,leczyć
treat,"zafundować, postawić; poczęstować"
treat,traktować
treatment,"leczenie, zabieg, terapia"
treatment,traktowanie
trekking,"trekking, wędrówka"
tremble,"trząść się, drżeć"
tremendous,"wspaniały, niesamowity"
tremendously,"ogromnie, niesamowicie"
trial,proces
triangle,trójkąt
tribe,"plemię, szczep"
trick,"oszukiwać, naciągnąć"
tricky,"podchwytliwy, skomplikowany, trudny"
trip,potykać się
trivial,"trywialny, błahy"
trolley,wózek
trophy,"trofeum, puchar"
tropical,tropikalny
trouble,"martwić, niepokoić"
truly,"naprawdę, prawdziwie; szczerze"
trunk,pień
trust,zaufanie
truthful,prawdomówny
try,próba
tulip,tulipan
turn,"obracać (się), kręcić (się)"
turn,"skręt, zakręt"
tutor,"korepetytorka, korepetytor"
twilight,zmierzch
twisted,"skręcony, skrzywiony, wykręcony"
type,typ
typewriter,maszyna do pisania
ultimate,ostateczny; najwyższy; fundamentalny
unacceptable,"niedopuszczalny, nie do przyjęcia"
unattractive,nieatrakcyjny
unavailable,niedostępny
unaware,nieświadomy
unbearable,"nieznośny, nie do zniesienia"
uncertain,niepewny
unchanged,"niezmieniony, bez zmian"
unclear,niejasny
unconscious,nieprzytomny
underestimate,"nie docenić, bagatelizować, nisko oszacować"
underground,podziemny
underneath,"pod spodem, na spodzie"
understandable,zrozumiały
understanding,"pojmowanie, rozumienie, wiedza"
understanding,"zrozumienie, wyrozumiałość"
understanding,wyrozumiały
underwater,podwodny
undo,"rozpiąć, rozsunąć, rozwiązać"
undo,"cofnąć (czyn, skutki), odwrócić"
undoubtedly,niewątpliwie
undressed,rozebrany
uneasy,"niespokojny, zaniepokojony; skrępowany, zażenowany"
unexpectedly,"nieoczekiwanie, niespodziewanie"
unfamiliar,"nieznajomy, nieznany"
unfashionable,niemodny
unfortunate,"pechowy, niefortunny"
unhappiness,"zgryzota, nieszczęście"
unhelpful,"nieuczynny, mało pomocny"
unique,"unikalny, unikatowy, niepowtarzalny, wyjątkowy"
unit,jednostka (miary)
united,"zgodny, zjednoczony"
united,zjednoczony
universal,"uniwersalny, powszechny, wszechstronny"
unlike,"niepodobny, różniący się od czegoś"
unlike,w przeciwieństwie do
unlimited,"nieograniczony, nielimitowany"
unlock,otworzyć kluczem
unnatural,nienaturalny
unpopular,nielubiany; niepopularny
unpredictable,"nieprzewidywalny, nie do przewidzenia"
unrealistic,nierealistyczny
unreasonable,"nierozsądny, bezmyślny"
unreliable,nierzetelny
unsatisfactory,"niezadowalający, niesatysfakcjonujący"
unsuccessful,"nieudany, niepomyślny"
unsuitable,nieodpowiedni
unsure,niepewny
untie,rozwiązać
unusually,"wyjątkowo, nietypowo"
unwilling,niechętny
upbringing,wychowanie
update,"aktualizacja, nowa wersja"
update,"nowa informacja, aktualizacja, uaktualnienie"
upgrade,"aktualizacja, nowsza wersja"
upgrade,"zmodernizować, unowocześnić, wprowadzić nową wersję, rozszerzyć"
upon,na
upright,"wyprostowany, prosty, pionowy"
upset,"zdenerwować, zmartwić, zasmucić"
urban,miejski
urgently,pilnie
vacant,"wolny, pusty"
valid,"ważny, aktualny (np. dokument)"
values,wartości
vanish,znikać
variation,"zmiana, różnica, odchylenie"
varied,"zróżnicowany, urozmaicony"
vary,"różnić się, zmieniać się"
vast,"olbrzymi, ogromny, rozległy"
velvet,aksamit
vendor,sprzedawca
venue,"lokalizacja, miejsce wydarzenia"
verse,"wiersz, zwrotka"
version,wersja
vessel,"statek, jednostka pływająca"
victim,ofiara
victory,zwycięstwo
viewer,"widz, telewidz"
vinegar,ocet
violence,"przemoc, agresja"
violent,"brutalny, agresywny"
violently,"gwałtownie, agresywnie, brutalnie"
virtual,wirtualny
virtually,"praktycznie, prawie, niemalże"
virtually,wirtualnie
virus,wirus
visible,widoczny
vision,wzrok
vision,"wizja, wyobrażenie"
visual,"wizualny, wzrokowy"
vital,"niezbędny, istotny"
vitamin,witamina
vivid,"jaskrawy, wyrazisty, żywy"
vividly,"żywo, jaskrawo, barwnie"
vodka,wódka
volcano,wulkan
volunteer,"ochotnik, wolontariusz, wolontariuszka"
voyage,"podróż morska, rejs"
wages,tygodniówka
waist,"pas, talia"
wait,oczekiwanie
wander,"wałęsać się, snuć się, włóczyć się, wędrować"
ward,oddział szpitalny
warm,ogrzać (się)
warmly,"serdecznie, ciepło"
warmth,"ciepło, serdeczność"
warmth,ciepło
wasp,osa
watch,"pilnować, doglądać"
watchmaker,zegarmistrz
water,"podlewać, nawadniać"
waterproof,"nieprzemakalny, wodoodporny"
wavy,falowany
weak,"słaby, nieudolny"
weakness,"słabość (fizyczna, psychiczna), niemoc"
wealth,"bogactwo, majątek"
wealthy,"zamożny, bogaty"
weapon,broń
wear,"odzież, ubranie, stroje"
weird,"dziwaczny, dziwny"
welcome,mile widziany
welfare,"dobro, dobrobyt, dobrostan"
well-balanced,dobrze zbilansowany
well-balanced,zrównoważony
well-built,dobrze zbudowany
well-organized,"dobrze zorganizowany, poukładany"
well-paid,dobrze płatny
wheat,pszenica
wheel,kierownica
whereas,"natomiast, podczas gdy"
whisky,whisky
whisper,szeptać
whistle,"gwizd, gwizdek"
whistle,gwizdać
whoever,ktokolwiek
whom,"którego, których, kogo, komu"
wide,szeroko (np. otwarty)
widely,"powszechnie, szeroko"
widen,poszerzyć (się)
widow,wdowa
width,szerokość
wild,"szalony, szaleńczy, dziki"
wildly,"dziko, szalenie, szaleńczo, burzliwie"
will,"wola, chęć, determinacja"
willingly,"dobrowolnie, z chęcią"
willingness,"chęć, ochota"
wind,wić się
wind,owijać
winding,"kręty, wijący się"
wing,skrzydło (budynku)
wing,skrzydło
wipe,"wytrzeć, przetrzeć"
wire,"drucik, drut"
wire,"kabel, przewód"
wisdom,mądrość
wise,mądry
wish,życzenie
witness,być świadkiem
witness,świadek
witty,dowcipny
wolf,wilk
wonder,cud
wonder,"zdumienie, zdziwienie, podziw"
work,twórczość
worldwide,ogólnoświatowy
worldwide,"na cały świat, na skalę światową, na całym świecie"
worm,"robak, dżdżownica"
worry,zmartwienie
worrying,niepokojący
worst,"najgorzej, najbardziej"
worth,wartość
worthwhile,"wart uwagi, wart zachodu, wartościowy, wart trudu"
wound,rana
wound,"zranić, ranić"
wrinkles,zmarszczki
wrist,nadgarstek
wrongly,"błędnie, źle, niesłusznie"
X-ray,"prześwietlenie, rentgen"
yacht,jacht
yawn,ziewać
yell,"wrzask, wrzaśnięcie, krzyk"
yell,wrzeszczeć
youth,młodość
zebra,zebra
zip,zamek błyskawiczny
