Słowo angielskie,Tłumaczenie
unable,"niezdolny (żeby coś zrobić), nie w stanie"
unbelievable,"niewiarygodny, nie do wiary"
uncomfortable,niewygodny
under,"pod (kontrolą, naciskiem, ciężarem, presją, wpływem); w (warunkach, okolicznościach)"
underneath,"poniżej, pod"
underpants,"majtki, slipy"
underwear,bielizna
undress,rozebrać
unemployed,bezrobotny
unemployment,bezrobocie
unexpected,niespodziewany
unfair,niesprawiedliwy
unfairly,"niesprawiedliwie, niesłusznie; nieprzepisowo"
unfit,"niesprawny, w złej kondycji, w złej formie"
unforgettable,niezapomniany
unfriendly,"nieprzyjazny, nieżyczliwy"
unhealthy,"chory, chorowity, niezdrowy"
unhealthy,niezdrowy
unimportant,nieważny
uninterested,niezainteresowany
uninteresting,"nieinteresujący, nudny, nieciekawy"
union,związek
unit,"rozdział (w książce), część, komórka"
universe,wszechświat
unkind,"nieuprzejmy, nieżyczliwy"
unknown,nieznany
unless,"chyba że, jeśli nie"
unlikely,"mało prawdopodobny, wątpliwy"
unlucky,pechowy
unnecessary,"niepotrzebny, niekonieczny"
unpack,rozpakować
unpleasant,"nieprzyjemny, niemiły"
untidy,"nieporządny, nieposprzątany, niestaranny, niechlujny"
unwell,chory
up,na nogach (nie w łóżku)
up-to-date,nowoczesny; aktualny
update,zaktualizować
upload,załadować (pliki)
upper,"górny, wyższy"
upstairs,górny (na górnym piętrze)
urgent,pilny
used,używany
useless,"bezużyteczny, bezcelowy; do niczego"
user,użytkownik
usual,"zwykły, zwyczajny"
valley,dolina
valuable,"wartościowy, cenny"
value,wartość
van,furgonetka
vase,wazon
veal,cielęcina
vegetarian,wegetariański
vegetarian,wegetarianin
vehicle,pojazd
vet,weterynarz
via,przez
video clip,teledysk
view,"pogląd, opinia"
visa,wiza
visit,"wizyta, odwiedziny"
voice,głos
volume,"natężenie, głośność"
vote,głos
vote,głosować
vowel,samogłoska (dźwięk lub litera)
waffle,gofr
wage,"tygodniówka, zarobek tygodniowy, uposażenie, wypłata"
waiting room,poczekalnia
walk the dog,wyprowadzać psa
wardrobe,szafa
warm,"ciepły, serdeczny"
warn,ostrzegać
warning,ostrzeżenie
washbasin,umywalka
waste,"odpadki, odpady"
waste,"strata, marnowanie, marnotrawstwo"
waste,"marnować, marnotrawić"
waterfall,wodospad
watermelon,arbuz
wave,machać (np. ręką)
wave,fala
way,"dystans, odległość"
way,strona (kierunek)
weak,słaby
weather forecast,prognoza pogody
web,"sieć pajęcza, pajęczyna"
webcam,kamera internetowa
wedding,ślub
wedding cake,tort weselny
wedding dress,suknia ślubna
wedding guest,gość weselny
wedding ring,obrączka
weigh,ważyć
weight,waga
welcome,powitanie
welcome,powitać
well-dressed,dobrze ubrany
western,zachodni
wet,zmoczyć
whale,wieloryb
whatever,"cokolwiek, wszystko co"
wheelchair,wózek (inwalidzki)
whenever,"kiedy tylko, kiedykolwiek"
wherever,gdziekolwiek
whether,czy
while,"chwila, jakiś czas"
whipped cream,bita śmietana
white,biały (o człowieku rasy białej)
whole,całość
whose,"której, którego, których"
wildlife,dzika przyroda; flora i fauna
willing,chętny
win,wygrać (wybory)
window,"okno, okienko (na monitorze)"
window display,"wystawa (sklepowa), witryna"
window seat,miejsce przy oknie
windscreen,przednia szyba
windsurfing,windsurfing
wing,skrzydło
wish,żałować; życzyć (sobie)
within,"w ciągu, wewnątrz, w odległości, w czasie, w obrębie"
wonder,zastanawiać się
work out,ćwiczyć
working,roboczy; na stopie zawodowej; dotyczący pracy
working,"pracujący, czynny zawodowo"
workout,"ćwiczenia, trening"
worse,gorzej
worst,"(to, co) najgorsze"
worth,wart
wrap,"owijać, pakować"
write something down,zapisać
written,"na piśmie, pisemny"
yard,jard
yoga,joga
youth,młodzież
youth hostel,schronisko młodzieżowe
zero,zerowy
zone,strefa
